sequence,score,nucleotide_mutation
1,score1,8
1,score2,8
1,score3,12
1,score4,8
1,score5,8
2,score1,6
2,score2,6
2,score3,9
2,score4,6
2,score5,6
3,score1,5
3,score2,5
3,score3,7
3,score4,5
3,score5,5
4,score1,11
4,score2,11
4,score3,14
4,score4,11
4,score5,11
5,score1,12
5,score2,12
5,score3,18
5,score4,12
5,score5,12
6,score1,12
6,score2,12
6,score3,18
6,score4,12
6,score5,12
7,score1,16
7,score2,16
7,score3,23
7,score4,16
7,score5,16
8,score1,24
8,score2,24
8,score3,38
8,score4,24
8,score5,24
9,score1,20
9,score2,20
9,score3,32
9,score4,20
9,score5,20
10,score1,14
10,score2,14
10,score3,22
10,score4,14
10,score5,14
